state,Affiliation
AK,REPUBLICAN
DC,DEMOCRAT
ID,REPUBLICAN
KS,REPUBLICAN
ND,REPUBLICAN
NE,REPUBLICAN
UT,REPUBLICAN
WY,REPUBLICAN
IN,REPUBLICAN
OK,REPUBLICAN
RI,DEMOCRAT
AL,REPUBLICAN
MA,DEMOCRAT
MS,REPUBLICAN
NY,DEMOCRAT
DE,DEMOCRAT
HI,DEMOCRAT
LA,REPUBLICAN
MD,DEMOCRAT
MT,REPUBLICAN
SC,REPUBLICAN
SD,REPUBLICAN
TX,REPUBLICAN
AR,REPUBLICAN
AZ,REPUBLICAN
CA,DEMOCRAT
CT,DEMOCRAT
IL,DEMOCRAT
KY,REPUBLICAN
VT,DEMOCRAT
WA,DEMOCRAT
WI,DIVIDED
GA,REPUBLICAN
ME,DEMOCRAT
MN,DEMOCRAT
NC,DIVIDED
NJ,DEMOCRAT
NV,DIVIDED
TN,REPUBLICAN
WV,REPUBLICAN
FL,DIVIDED
MO,REPUBLICAN
NM,DEMOCRAT
OH,DIVIDED
OR,DEMOCRAT
PA,DIVIDED
CO,REPUBLICAN
IA,DEMOCRAT
MI,DEMOCRAT
MN,DIVIDED
