state,year,Age,PregnancyRate,AbortionRate,BirthRate,AbortionRatio,Pregnancies,Abortions,Births,Miscarriages,Population
AL,1988,<15,21.3,8.6,9.9,866.5,610,250,285,80,28846
AL,1988,15-17,78.3,24,43.3,553.6,7440,2280,4112,1050,95042
AL,1988,18-19,155.7,41.8,91.4,457.2,10560,2830,6200,1520,67806
AL,1988,20-24,186.5,40.5,118.3,342.2,30410,6600,19293,4520,163053
AL,1988,25-29,152.5,25.4,103.8,245,25890,4320,17617,3950,169778
AL,1988,30-34,87.2,14.5,59.3,245.1,14470,2410,9846,2210,165953
AL,1988,35-39,31.9,7.4,19.8,376.2,4820,1120,2987,710,150994
AL,1988,40>,6.1,2.2,3.1,709.4,800,290,405,110,132391
AL,1992,<15,23.6,8.6,11.7,734.1,700,250,347,90,29578
AL,1992,15-17,76.3,19.1,46.1,415.1,6820,1710,4116,990,89378
AL,1992,18-19,173.4,38.8,108.9,356.1,10890,2440,6844,1610,62837
AL,1992,20-24,184.2,38.1,118.6,321.3,30390,6290,19562,4540,164977
AL,1992,25-29,155,22.5,108.6,207.4,24210,3520,16955,3740,156176
AL,1992,30-34,87.2,12,61.6,195.2,14820,2040,10474,2300,169904
AL,1992,35-39,32,6.9,20.4,336.7,5380,1150,3428,800,168060
AL,1992,40>,6.5,2.1,3.5,596.2,990,320,534,140,152130
AL,1996,<15,18.5,6,9.9,605.2,580,190,311,80,31436
AL,1996,15-17,66.2,12.5,43.7,285.4,6370,1200,4207,960,96187
AL,1996,18-19,156.2,30.9,101.9,302.7,10120,2000,6600,1520,64756
AL,1996,20-24,176.6,34.6,115.4,300.1,27620,5420,18052,4150,156405
AL,1996,25-29,143.2,19.7,101.2,194.7,22430,3090,15863,3480,156680
AL,1996,30-34,90.5,10.9,65.4,166.2,14650,1760,10595,2300,161922
AL,1996,35-39,34.6,5.6,23.7,234.4,6100,980,4182,930,176144
AL,1996,40>,6.9,1.8,4.1,451.5,1150,310,678,170,167319
AL,2000,<15,11.9,3.8,6.4,585.1,370,120,201,50,31188
AL,2000,15-17,53.7,9.3,36.2,256.9,5050,870,3403,770,93964
AL,2000,18-19,140.8,24.3,95.1,255.2,9360,1610,6324,1430,66492
AL,2000,20-24,186.8,29.6,128.6,229.9,29180,4620,20084,4480,156233
AL,2000,25-29,158.7,20.3,113.6,178.8,23900,3060,17111,3730,150616
AL,2000,30-34,96.1,10.2,70.7,144.7,14690,1560,10806,2320,152816
AL,2000,35-39,37.6,5.4,26.4,202.7,6500,930,4566,1010,172909
AL,2000,40>,7.2,1.6,4.5,358.5,1280,290,804,190,177209
AL,2005,<15,8.7,2.9,4.6,625.5,280,90,150,40,32408
AL,2005,15-17,38.6,7,25.7,273.9,3740,680,2490,570,96757
AL,2005,18-19,118.7,19.2,81.3,235.7,7710,1240,5281,1180,64944
AL,2005,20-24,165.8,23.2,116.9,198,27130,3790,19134,4210,163672
AL,2005,25-29,154.8,16.9,113.5,148.8,22830,2490,16743,3600,147499
AL,2005,30-34,100.5,10.2,74.4,137,15040,1530,11138,2380,149728
AL,2005,35-39,40.7,4.9,29.4,167.7,6290,760,4546,990,154736
AL,2005,40>,8.3,1.4,5.6,259,1440,250,971,220,173653
AL,2006,<15,9.3,2.9,5.1,566.7,300,90,163,40,32100
AL,2006,15-17,40.3,7.1,27.1,260.7,4000,700,2690,610,99281
AL,2006,18-19,128.4,19.3,89.4,215.7,8400,1260,5847,1300,65427
AL,2006,20-24,171.6,23.6,121.4,194.5,27950,3840,19766,4340,162871
AL,2006,25-29,159.1,17.1,116.9,146.7,24490,2640,17989,3860,153897
AL,2006,30-34,100.8,9.7,75.1,129.4,14780,1420,11007,2340,146533
AL,2006,35-39,42.1,4.9,30.6,160.7,6610,770,4804,1040,157188
AL,2006,40>,8.4,1.5,5.7,260.5,1440,250,966,220,170861
AL,2007,<15,8.6,3.2,4.2,755.7,280,100,136,40,32115
AL,2007,15-17,41.3,6.8,28.1,242.6,4130,680,2815,630,100067
AL,2007,18-19,125.3,18.1,87.8,205.5,8390,1210,5881,1300,66944
AL,2007,20-24,175.1,24.1,123.8,194.8,28610,3940,20228,4440,163425
AL,2007,25-29,160.7,17.6,117.8,149.1,25140,2750,18434,3960,156497
AL,2007,30-34,104.5,9.9,78,126.6,15210,1440,11356,2410,145591
AL,2007,35-39,43.2,5,31.4,157.8,6870,790,4998,1080,159044
AL,2007,40>,8.3,1.3,5.7,230.5,1390,220,956,210,166904
AL,2008,<15,9.7,3.3,5.1,641.9,300,100,160,40,31534
AL,2008,15-17,38.4,6.7,25.8,258.5,3810,660,2569,580,99429
AL,2008,18-19,122.5,18,85.6,210,8570,1260,5990,1320,69946
AL,2008,20-24,171.4,23.1,121.6,190.2,28160,3800,19980,4380,164263
AL,2008,25-29,160.6,17.5,117.9,148.2,25360,2760,18603,4000,157839
AL,2008,30-34,104.5,9.9,78,127.2,15300,1450,11422,2430,146382
AL,2008,35-39,42.1,4.8,30.7,158.1,6740,780,4906,1060,160006
AL,2008,40>,8.2,1.3,5.6,230.6,1330,210,916,200,162815
AL,2009,<15,9,2.6,5.1,507.9,280,80,160,40,31312
AL,2009,15-17,37.4,6.4,25.4,250.3,3680,620,2493,560,98244
AL,2009,18-19,112.7,15.5,79.8,193.9,8070,1110,5712,1250,71623
AL,2009,20-24,160.6,21.9,113.8,192.6,26710,3640,18918,4150,166287
AL,2009,25-29,155.3,16.3,114.5,142.3,24530,2570,18086,3870,157961
AL,2009,30-34,103.8,9.6,77.7,123.8,15460,1430,11571,2460,148915
AL,2009,35-39,40.4,5.2,28.8,181.8,6440,840,4598,1000,159486
AL,2009,40>,8.6,1.4,5.9,243.7,1380,230,937,210,159544
AL,2010,<15,7.4,2.8,3.6,789.8,230,90,110,30,30943
AL,2010,15-17,33.9,5.7,23,248.4,3280,550,2224,500,96667
AL,2010,18-19,102.7,13.8,72.9,189.4,7210,970,5119,1120,70194
AL,2010,20-24,148.8,20.8,104.9,198.6,25170,3520,17745,3900,169146
AL,2010,25-29,152.4,16,112.3,142.6,23990,2520,17683,3790,157432
AL,2010,30-34,101.8,9.5,76.1,125.5,15490,1450,11578,2460,152163
AL,2010,35-39,40.2,4.6,29.3,155.3,6290,710,4590,990,156465
AL,2010,40>,9.1,1.3,6.3,213.6,1440,210,1001,220,158649
AL,2011,<15,6.1,2.2,3.1,700.9,190,70,95,30,30905
AL,2011,15-17,30.6,5.1,20.8,242.7,2910,480,1983,440,95128
AL,2011,18-19,99.6,14.2,70,202.6,6580,940,4626,1020,66083
AL,2011,20-24,142.8,19.4,101.2,191.6,24820,3370,17591,3860,173800
AL,2011,25-29,150.2,15.2,111.3,136.1,23620,2380,17498,3740,157220
AL,2011,30-34,102.8,9.2,77.2,119,15900,1420,11949,2530,154766
AL,2011,35-39,41.6,4.8,30.3,157.7,6320,730,4600,990,151732
AL,2011,40>,9.1,1.4,6.3,217.3,1460,220,1012,220,160206
AL,2012,<15,5.3,1.8,2.8,636.4,170,60,88,20,31413
AL,2012,15-17,26.7,4.2,18.4,230.1,2510,400,1725,380,93914
AL,2012,18-19,97.4,12.8,69.4,184.9,6270,830,4470,980,64398
AL,2012,20-24,134.7,17.1,96.6,177.4,23860,3030,17100,3720,177100
AL,2012,25-29,148,14.2,110.3,128.4,23270,2230,17347,3690,157224
AL,2012,30-34,104.1,9.2,78.3,117.6,16230,1440,12211,2590,155930
AL,2012,35-39,41.7,4.7,30.5,153.8,6260,700,4574,990,150043
AL,2012,40>,8.6,1.5,5.8,254.9,1380,240,933,210,161327
AL,2013,<15,4.3,1.7,2,818.6,130,50,64,20,31524
AL,2013,15-17,22.1,3,15.7,192.6,2080,280,1471,320,93823
AL,2013,18-19,86.6,11.7,61.5,189.8,5520,740,3921,860,63803
AL,2013,20-24,134.7,16.2,97.4,166.7,23960,2890,17322,3750,177905
AL,2013,25-29,147.6,13.5,110.6,121.7,23320,2130,17480,3710,158005
AL,2013,30-34,103.6,8.3,78.7,105.9,16230,1310,12325,2600,156578
AL,2013,35-39,41.8,4.2,31,136.4,6250,630,4631,990,149526
AL,2013,40>,8.4,1.2,5.9,207.7,1360,200,953,210,161412
AL,2014,<15,3.6,1.1,2,546.6,120,30,64,20,32193
AL,2014,15-17,20.8,3.2,14.4,223.5,1960,300,1358,300,94220
AL,2014,18-19,82.3,10.9,58.6,185.7,5130,680,3651,800,62265
AL,2014,20-24,134.5,16.4,97,169.1,23690,2890,17092,3710,176143
AL,2014,25-29,151,13.7,113.3,121.3,24190,2200,18141,3850,160150
AL,2014,30-34,110.2,8.5,84.1,101.4,17280,1340,13176,2770,156749
