year,stateFull,state,Affiliation
1976,ALABAMA,AL,DEMOCRAT
1976,ALASKA,AK,REPUBLICAN
1976,ARIZONA,AZ,REPUBLICAN
1976,ARKANSAS,AR,DEMOCRAT
1976,CALIFORNIA,CA,DIVIDED
1976,COLORADO,CO,REPUBLICAN
1976,CONNECTICUT,CT,REPUBLICAN
1976,DELAWARE,DE,DEMOCRAT
1976,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1976,FLORIDA,FL,DEMOCRAT
1976,GEORGIA,GA,DEMOCRAT
1976,HAWAII,HI,DIVIDED
1976,IDAHO,ID,REPUBLICAN
1976,ILLINOIS,IL,DIVIDED
1976,INDIANA,IN,REPUBLICAN
1976,IOWA,IA,DIVIDED
1976,KANSAS,KS,REPUBLICAN
1976,KENTUCKY,KY,DEMOCRAT
1976,LOUISIANA,LA,DEMOCRAT
1976,MAINE,ME,DIVIDED
1976,MARYLAND,MD,DEMOCRAT
1976,MASSACHUSETTS,MA,DEMOCRAT
1976,MICHIGAN,MI,REPUBLICAN
1976,MINNESOTA,MN,DEMOCRAT
1976,MISSISSIPPI,MS,DIVIDED
1976,MISSOURI,MO,DIVIDED
1976,MONTANA,MT,REPUBLICAN
1976,NEBRASKA,NE,REPUBLICAN
1976,NEVADA,NV,DIVIDED
1976,NEW HAMPSHIRE,NH,REPUBLICAN
1976,NEW JERSEY,NJ,DIVIDED
1976,NEW MEXICO,NM,DIVIDED
1976,NEW YORK,NY,DEMOCRAT
1976,NORTH CAROLINA,NC,DEMOCRAT
1976,NORTH DAKOTA,ND,REPUBLICAN
1976,OHIO,OH,DIVIDED
1976,OKLAHOMA,OK,DIVIDED
1976,OREGON,OR,DIVIDED
1976,PENNSYLVANIA,PA,DIVIDED
1976,RHODE ISLAND,RI,DEMOCRAT
1976,SOUTH CAROLINA,SC,DEMOCRAT
1976,SOUTH DAKOTA,SD,DIVIDED
1976,TENNESSEE,TN,DEMOCRAT
1976,TEXAS,TX,DIVIDED
1976,UTAH,UT,REPUBLICAN
1976,VERMONT,VT,REPUBLICAN
1976,VIRGINIA,VA,DIVIDED
1976,WASHINGTON,WA,DIVIDED
1976,WEST VIRGINIA,WV,DEMOCRAT
1976,WISCONSIN,WI,DIVIDED
